Item Name,Rarity,Attunement,Cost (gp),Note,Armor Cost,Rare Material,AC Bonus,Save Bonus,Set Score (Modifier),+2 Bonus To Score (Y/N),Weapon Bonus,Spell Level,Unlimited Charges (Y/N),Charges/Day (Unlimit = 7),Charges/Item (Destroyed),Spells Share Charges,"Condition (1Min, Save)",Consumable Damage (Avg),Consumable Save? (Y/N),Semi-Permanent Damage (Avg),Semi-Perm Save? (Y/N),Duration? (Minutes),Permanent Damage (Avg),Perm Save? (Y/N),Specific Situations (Y/N),Restore HP (Avg),Misc. Costs,2 Spell Level,2 Unlimited Charges (Y/N),2 Charges/Day (Unlimit = 7),3 Spell Level,3 Unlimited Charges (Y/N),3 Charges/Day (Unlimit = 7),MatCost,ACCost,SaveCost,SetScore Cost,BonusScore Cost,WeaponCost,Consum Spell Cost,PermCharges Cost,Charges - Destroyed,SpellShare ChargesCost,ConditionCost,ConsDMG Cost,Sm-PrDMG Cost,PerDMG Cost,AVGHP Cost,MiscCost,2 Consum Spell Cost,2 Perm Charges Cost,3 Consum Spell Cost,3 Perm Charges Cost,Source Sheet
"Necklace of Prayer Beads, Favor Bead",Rare,Yes,6720,based: greater restoration (plus 1 level for BA cast),,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
"Necklace of Prayer Beads, Smiting Bead",Rare,Yes,2400,based: branding smite (plus 1 level for BA cast),,,,,,,,3,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,300,900,,,,,,,,,,,,,DMG 2024
"Necklace of Prayer Beads, Summons Bead",Rare,Yes,8640,based: planar ally (plus 1 level for BA cast),,,,,,,,7,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,1080,3240,,,,,,,,,,,,,DMG 2024
"Necklace of Prayer Beads, Wind Walking Bead",Rare,Yes,8640,based: wind walk (plus 1 level for BA cast),,,,,,,,7,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,1080,3240,,,,,,,,,,,,,DMG 2024
Nine Lives Stealer,Very Rare,Yes,40950,"9 charges, based: power word kill (minus 1 level due to save)",,,,,,,2,8,,,9,,,,,,,,,,,,,,,,,,,,,,,,1500,1350,,10800,,,,,,,,,,,,DMG 2024
Nolzur's Marvelous Pigments,Very Rare,No,14850,per pot; based: fabricate (permanent),,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Oathbow,Very Rare,Yes,6471,based: invisibility (for constant advantage),,,,,,,,2,Y,,,,,,,,,,10,N,Y,,,,,,,,,,,,,,,180,1620,,,,,,357,,,,,,,DMG 2024
Oil of Etherealness,Rare,No,2376,,,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1080,,0,,,,,,,,,,,,DMG 2024
Oil of Sharpness,Very Rare,No,2772,based: magic weapon,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,840,,0,,,,,,,,,,,,DMG 2024
Oil of Slipperiness,Uncommon,No,743,based: freedom of movement,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,450,,0,,,,,,,,,,,,DMG 2024
Orb of Direction,Common,No,330,based: cantrip power,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Orb of Dragonkin,Artifact,Yes,-,"Artifact, not priced",,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Orb of Time,Common,No,330,based: cantrip power,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Pearl of Power,Uncommon,Yes,2700,based: 4th level spells,,,,,,,,4,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,450,1350,,,,,,,,,,,,,DMG 2024
Perfume of Bewitching,Common,No,198,based: enhance ability,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,DMG 2024
Periapt of Health,Uncommon,No,2079,"based: cure wounds (1/day), protection from poison (minus 1 level since it doesn't grant immunity)",,,,,,,,1,N,1,,,,,,,,,,,,,,1,Y,,,,,,,,,,,90,270,,,,,,,,,90,810,,,DMG 2024
Periapt of Proof against Poison,Rare,Yes,6000,based: protection from poison (plus 1 level),,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Periapt of Wound Closure,Uncommon,Yes,2700,based: stabilize (plus 2 levels),,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Philter of Love,Uncommon,No,1040,based: charm monster (plus 1 level),,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,630,,0,,,,,,,,,,,,DMG 2024
Pipe of Smoke Monsters,Common,No,330,based: minor illusion,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Pipes of Haunting,Uncommon,No,2970,based: cause fear (3rd level),,,,,,,,3,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,300,1500,,,,,,,,,,,,,DMG 2024
Pipes of the Sewers,Uncommon,Yes,1620,based: conjure animals (minus 1 level),,,,,,,,2,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,180,900,,,,,,,,,,,,,DMG 2024
Plate Armor of Etherealness,Legendary,Yes,24300,based: etherealness (minus 1 level due to short duration),1500,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,1500,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
Pole of Angling,Common,No,330,based: cantrip power,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Pole of Collapsing,Common,No,330,based: cantrip power,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Portable Hole,Rare,No,3960,"based: floating disk (plus 1 level, carries more)",,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Potion of Animal Friendship,Uncommon,No,149,based: animal friendship,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,90,,0,,,,,,,,,,,,DMG 2024
Potion of Clairvoyance,Rare,No,990,"based: clairvoyance (plus 1 level, no concentration)",,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,450,,0,,,,,,,,,,,,DMG 2024
Potion of Climbing,Common,No,693,"based: spider climb, enhance ability (plus 1 level, no concentration)",,,,,,,,3,,,1,,,,,,,,,,,,330,,,,,,,,,,,,,300,,0,,,,,,,330,,,,,DMG 2024
Potion of Diminution,Rare,No,660,"based: enlarge/reduce (plus 1 level, longer duration)",,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,300,,0,,,,,,,,,,,,DMG 2024
Potion of Fire Breath,Uncommon,No,297,based: dragon's breath,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,180,,0,,,,,,,,,,,,DMG 2024
Potion of Flying,Very Rare,No,1485,"based: fly (plus 1 level, no concentration)",,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,450,,0,,,,,,,,,,,,DMG 2024
Potion of Gaseous Form,Rare,No,990,"based: gaseous form (plus 1 level, no concentration)",,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,450,,0,,,,,,,,,,,,DMG 2024
"Potion of Giant Strength, Hill",Uncommon,No,3119,"misc: belt of hill, divided by 10",,,,,,,,,,,,,,,,,,,,,,,1890,,,,,,,,,,,,,,,,,,,,,,1890,,,,,DMG 2024
"Potion of Giant Strength, Frost/Stone",Rare,No,8732,"misc: belt of frost/storm, divided by 10",,,,,,,,,,,,,,,,,,,,,,,3969,,,,,,,,,,,,,,,,,,,,,,3969,,,,,DMG 2024
"Potion of Giant Strength, Fire",Rare,No,11643,"misc: belt of fire, divided by 10",,,,,,,,,,,,,,,,,,,,,,,5292,,,,,,,,,,,,,,,,,,,,,,5292,,,,,DMG 2024
"Potion of Giant Strength, Cloud",Very Rare,No,37422,"misc: belt of cloud, divided by 10",,,,,,,,,,,,,,,,,,,,,,,11340,,,,,,,,,,,,,,,,,,,,,,11340,,,,,DMG 2024
"Potion of Giant Strength, Storm",Legendary,No,77963,"misc: belt of storm, divided by 10",,,,,,,,,,,,,,,,,,,,,,,14175,,,,,,,,,,,,,,,,,,,,,,14175,,,,,DMG 2024
Potion of Greater Invisibility,Very Rare,No,3564,"based: greater invisibility (plus 3 levels, no concentration and lasts for 1 hour)",,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1080,,0,,,,,,,,,,,,DMG 2024
Potion of Growth,Uncommon,No,495,"based: enlarge/reduce (plus 1 level, longer duration)",,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,300,,0,,,,,,,,,,,,DMG 2024
Potion of Healing,Common,No,55,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,49.98,,,,,,DMG 2024
Potion of Greater Healing,Uncommon,No,165,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,99.96,,,,,,DMG 2024
Potion of Superior Healing,Rare,No,440,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,199.92,,,,,,DMG 2024
Potion of Supreme Healing,Very Rare,No,1061,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,321.3,,,,,,DMG 2024
Potion of Heroism,Rare,No,792,"based: heroism & bless (plus 1 level, no concentration)",,,,,,,,2,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,180,,0,,,,,,,,180,,,,DMG 2024
Potion of Invisibility,Rare,No,660,"based: invisibility (plus 1 level, no concentration)",,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,300,,0,,,,,,,,,,,,DMG 2024
Potion of Invulnerability,Rare,No,3630,based: invulnerability,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1650,,0,,,,,,,,,,,,DMG 2024
Potion of Longevity,Very Rare,No,5445,based: wish,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1650,,0,,,,,,,,,,,,DMG 2024
Potion of Mind Reading,Rare,No,660,"based: detect thoughts (plus 1 level, no concentration)",,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,300,,0,,,,,,,,,,,,DMG 2024
Potion of Poison,Uncommon,No,1103,added magic aura for disguising it,,,,,,,,2,,,1,,Poisoned,14,Y,,,,,,,,,,,,,,,,,,,,,180,,0,,450,38,,,,,,,,,DMG 2024
Potion of Pugilism,Uncommon,No,248,,,,,,,,,,,,,,,,,3,,10,,,,,,,,,,,,,,,,,,,,,,,,149.94,,,,,,,,DMG 2024
Potion of Resistance,Uncommon,No,743,"based: protection from energy (plus 1 level, no concentration)",,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,450,,0,,,,,,,,,,,,DMG 2024
Potion of Speed,Very Rare,No,1485,"based: haste (plus 1 level, no concentration)",,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,450,,0,,,,,,,,,,,,DMG 2024
Potion of Vitality,Very Rare,No,2772,based: greater restoration (plus 1 level for increased effect),,,,,,,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,840,,0,,,,,,,,,,,,DMG 2024
Potion of Water Breathing,Uncommon,No,297,based: water breathing (minus 1 level for duration),,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,180,,0,,,,,,,,,,,,DMG 2024
Pot of Awakening,Common,No,198,based: conjure animal (minus 1 level),,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,DMG 2024
Prosthetic Limb,Common,No,330,based: mage hand,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
"Quaal's Feather Token, Anchor",Rare,No,2376,"based: hold monster (plus 2 levels for duration, no concentration)",,,,,,,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1080,,0,,,,,,,,,,,,DMG 2024
"Quaal's Feather Token, Bird",Rare,No,3630,based: conjure elemental (9th-level),,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1650,,0,,,,,,,,,,,,DMG 2024
"Quaal's Feather Token, Fan",Rare,No,660,"based: gust of wind (plus 1 level, no concentration)",,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,300,,0,,,,,,,,,,,,DMG 2024
"Quaal's Feather Token, Swan Boat",Rare,No,660,based on similar boats,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,300,,,,,DMG 2024
"Quaal's Feather Token, Tree",Rare,No,660,based: druidcraft (permanent),,,,,,,,0,Y,,1,,,,,,,,,,,,,,,,,,,,,,,,,30,270,0,,,,,,,,,,,,DMG 2024
"Quaal's Feather Token, Whip",Rare,No,660,based: spiritual weapon (plus 1 level),,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,300,,0,,,,,,,,,,,,DMG 2024
Quarterstaff of the Acrobat,Very Rare,Yes,12420,"based: light, enhance ability (minus 1 level due to limited, plus 1 level - no concentration), shield (3 charges)",,,,,,,2,1,N,3,,,,,,,,,,,,,,0,Y,,2,Y,,,,,,,1500,90,450,,,,,,,,,30,270,180,1620,DMG 2024
Quiver of Ehlonna,Uncommon,No,495,"based: floating disk (minus 1 level, carries less)",,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Ring of Animal Influence,Rare,No,4290,"charges based on highest spell level, spell share charge sum of all available spells",,,,,,,,3,N,3,,5,,,,,,,,,,,,,,,,,,,,,,,,300,1500,,150,,,,,,,,,,,DMG 2024
Ring of Djinni Summoning,Legendary,Yes,33000,based: conjure elemental (9th-level),,,,,,,,9,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,1650,4950,,,,,,,,,,,,,DMG 2024
Ring of Air Elemental Command,Legendary,Yes,67050,"based: protection from evil and good, dominate monster, featherfall; misc: protection from energy",,,,,,,,8,N,3,,17,,,,,,,,,,,3000,1,Y,,1,Y,,,,,,,,1350,6750,,510,,,,,,3000,90,810,90,810,DMG 2024
Ring of Earth Elemental Command,Legendary,Yes,67650,"based: protection from evil and good, dominate monster, freedom of movement (minus 3 levels); misc: protection from energy",,,,,,,,8,N,3,,21,,,,,,,,,,,3000,1,Y,,1,Y,,,,,,,,1350,6750,,630,,,,,,3000,90,810,90,810,DMG 2024
Ring of Fire Elemental Command,Legendary,Yes,104400,"based: protection from evil and good, dominate monster, investiture (immunity); misc: protection from energy resistance",,,,,,,,8,N,3,,16,,,,,,,,,,,3000,1,Y,,6,Y,,,,,,,,1350,6750,,480,,,,,,3000,90,810,840,7560,DMG 2024
Ring of Water Elemental Command,Legendary,Yes,72450,"based: protection from evil and good, dominate monster, water walk (minus 1 level); misc: water breathing (minus 1 level)",,,,,,,,8,N,3,,23,,,,,,,,,,,3000,1,Y,,2,Y,,,,,,,,1350,6750,,690,,,,,,3000,90,810,180,1620,DMG 2024
Ring of Evasion,Rare,Yes,7560,based on 5th level spells,,,,,,,,5,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,630,3150,,,,,,,,,,,,,DMG 2024
Ring of Feather Falling,Rare,Yes,1800,based: featherfall,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Ring of Free Action,Rare,Yes,9000,based: freedom of movement,,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Ring of Invisibility,Legendary,Yes,31500,"based: greater invisibility (plus 1 level, no concentration)",,,,,,,,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5670,,,,,,,,,,,,,DMG 2024
Ring of Jumping,Uncommon,Yes,1350,based: jump,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Ring of Mind Shielding,Uncommon,Yes,12600,based: mind blank (minus 2 levels for less abilities),,,,,,,,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,,,,,,,,,,,,DMG 2024
Ring of Protection,Rare,Yes,3600,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,900,900,,,,,,,,,,,,,,,,,,DMG 2024
Ring of Regeneration,Very Rare,Yes,32400,based: regenerate,,,,,,,,7,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,9720,,,,,,,,,,,,,DMG 2024
Ring of Resistance,Rare,No,9900,"based: protection from energy (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Ring of Shooting Stars,Very Rare,Yes,5276,based: fearie fire charges; misc: permanent dancing lights and light,,,,,,,,1,N,6,,,,,,26,Y,1,,,,,600,,,,,,,,,,,,,90,720,,,,,348.4,,,600,,,,,DMG 2024
Ring of Spell Storing,Rare,Yes,12600,5th level spell,,,,,,,,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5670,,,,,,,,,,,,,DMG 2024
Ring of Spell Turning,Legendary,Yes,31500,based: circle of power,,,,,,,,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5670,,,,,,,,,,,,,DMG 2024
Ring of Swimming,Uncommon,No,4950,"based: alter self (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Ring of Telekinesis,Very Rare,Yes,18900,"based: telekinesis (no change to level due to restriction, even with no concentration)",,,,,,,,5,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,630,5670,,,,,,,,,,,,,DMG 2024
Ring of the Ram,Rare,Yes,708,,,,,,,,,,,,,,,,,33,Y,0,,,,,,,,,,,,,,,,,,,,,,,,353.76,,,,,,,,DMG 2024
Ring of Three Wishes,Legendary,No,27225,based: wish x3,,,,,,,,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1650,,3300,,,,,,,,,,,,DMG 2024
Ring of Warmth,Uncommon,Yes,6750,"based: protection from energy (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Ring of Water Walking,Uncommon,No,7425,"based: water walking (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Ring of X-Ray Vision,Rare,Yes,3600,based: arcane eye (minus 2 levels),,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Rival Coin,Common,No,132,based: vicious mockery,,,,,,,,0,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,30,90,,,,,,,,,,,,,DMG 2024
Robe of Eyes,Rare,Yes,20400,"based: enhance ability, true seeing",,,,,,,,2,Y,,,,,,,,,,,,,,,6,Y,,,,,,,,,,,180,1620,,,,,,,,,840,7560,,,DMG 2024
Robe of Scintillating Colors,Very Rare,Yes,6750,based: invisibility ,,,,,,,,2,Y,,,,Stunned,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,450,,,,,,,,,,DMG 2024
Robe of Stars,Very Rare,Yes,19710,,,,,1,,,,5,N,6,,,,,,,,,,,,,,,,,,,,,,900,,,,630,5040,,,,,,,,,,,,,DMG 2024
Robe of the Archmagi,Legendary,Yes,43500,based: circle of power (minus 1 level); AC bonus is based on AC of 15 + Dex (difference between mage armor and 15),,,2,,,,2,4,Y,,,,,,,,,,,,,,,,,,,,,,2700,,,,1500,450,4050,,,,,,,,,,,,,DMG 2024
Robe of Useful Items,Uncommon,No,0,raw materials of the cloak times 1.65 (rarity & attunement tax),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Rod of Absorption,Very Rare,Yes,43650,"10 charges of 5th level spells, 6 uses of counterspell at 9th level",,,,,,,,5,,,10,,,,,,,,,,,,8250,,,,,,,,,,,,,630,,5670,,,,,,,8250,,,,,DMG 2024
Rod of Alertness,Very Rare,Yes,16200,"based: enhance ability, similar auras at paladin 7th level, about 4th level spell power",,,,,,,,2,Y,,,,,,,,,,,,,,,2,Y,,4,N,1,,,,,,,180,1620,,,,,,,,,180,1620,450,1350,DMG 2024
Rod of Lordly Might,Legendary,Yes,24893,based on flame tongue; misc is frightened,,,,,,,3,,,,,,Paralyzed,,,12,Y,0,7,N,N,,90,,,,,,,,,,,,3000,,,,,1260,,128.64,499.8,,90,,,,,DMG 2024
Rod of Resurrection,Legendary,Yes,27150,based: heal x5,,,,,,,,5,N,5,,13,,,,,,,,,,,,,,,,,,,,,,,,630,4410,,390,,,,,,,,,,,DMG 2024
Rod of Rulership,Rare,Yes,6720,based: charm monster (plus 2 levels),,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
Rod of Security,Very Rare,No,22275,based: magnificent mansion (plus 1 level) x2,,,,,,,,8,N,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1350,4050,1350,,,,,,,,,,,,DMG 2024
"Rod of the Pact Keeper, +1",Uncommon,Yes,2640,"Spell Save DC = AC bonus, spell attack = weapon bonus, regain spell slot treated as Lv1",,,1,,,,1,1,N,1,,,,,,,,,,,,,,,,,,,,,900,,,,500,90,270,,,,,,,,,,,,,DMG 2024
"Rod of the Pact Keeper, +2",Rare,Yes,9120,"Spell Save DC = AC bonus, spell attack = weapon bonus, regain spell slot treated as Lv1",,,2,,,,2,1,N,1,,,,,,,,,,,,,,,,,,,,,2700,,,,1500,90,270,,,,,,,,,,,,,DMG 2024
"Rod of the Pact Keeper, +3",Very Rare,Yes,26280,"Spell Save DC = AC bonus, spell attack = weapon bonus, regain spell slot treated as Lv1",,,3,,,,3,1,N,1,,,,,,,,,,,,,,,,,,,,,5400,,,,3000,90,270,,,,,,,,,,,,,DMG 2024
Rope of Climbing,Uncommon,No,495,based: mage hand,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Rope of Entanglement,Rare,No,198,,,,,,,,,,,,,,Restrained,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,DMG 2024
Rope of Mending,Common,No,330,based: mending,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Ruby of the War Mage,Common,Yes,300,based: cantrip power,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Saddle of the Cavalier,Uncommon,No,4950,"based: protection from evil and good (plus 2 levels, no concentration and can't be dismounted)",,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Scarab of Protection,Legendary,Yes,60300,"based: circle of power (minus 1 level), additional effect based on x12 5 level spells",,,,,,,,5,,,12,,,,,,,,,,,,,4,Y,,,,,,,,,,,630,,6930,,,,,,,,450,4050,,,DMG 2024
Scimitar of Speed,Very Rare,Yes,9900,based: haste (minus 1 level),,,,,,,2,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,1500,180,1620,,,,,,,,,,,,,DMG 2024
Scroll of Protection,Rare,No,198,based: protection from evil and good,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,90,,0,,,,,,,,,,,,DMG 2024
Scroll of Titan Summoning,Legendary,No,10890,based: 10th level,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1980,,0,,,,,,,,,,,,DMG 2024
Sending Stones,Uncommon,No,1188,"based: sending (minus 1 level, limitations)",,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
Sentinel Shield,Uncommon,No,2970,based: enhanced ability,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
"Shield, +1",Uncommon,No,1518,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10,910,,,,,,,,,,,,,,,,,,,DMG 2024
"Shield, +2",Rare,No,5984,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2710,,,,,,,,,,,,,,,,,,,DMG 2024
"Shield, +3",Very Rare,No,17886,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5410,,,,,,,,,,,,,,,,,,,DMG 2024
Shield of Expression,Common,No,341,based: minor illusion,10,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,10,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Shield of Missile Attraction,Rare,Yes,6000,based: protection from energy,,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Shield of the Cavalier,Very Rare,Yes,15518,based: resilient sphere,,,2,,,,,4,N,1,,,Prone,,,,,,9,N,N,,,,,,,,,,2700,,,,,450,1350,,,30,,,642.6,,,,,,,DMG 2024
Silvered Weapon,Common,No,488,"add cost of weapon, default damage based on d8 for weapon damage die, cantrip power for magic weapon",,,,,,,,0,Y,,,,,,,,,,4,N,Y,,,,,,,,,,,,,,,30,270,,,,,,142.8,,,,,,,DMG 2024
Silvered Shortsword,Common,No,129,,10,,,,,,,,,,,,,,,,,,3,N,Y,,,,,,,,,10,,,,,,,,,,,,,107.1,,,,,,,DMG 2024
Silvered Greataxe,Common,No,269,,30,,,,,,,,,,,,,,,,,,6,N,Y,,,,,,,,,30,,,,,,,,,,,,,214.2,,,,,,,DMG 2024
Slippers of Spider Climbing,Uncommon,Yes,4500,"based: spider climb (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Smoldering Armor,Common,No,330,add armor to total; based: minor illusion,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Sovereign Glue,Legendary,No,17325,price is 7 uses; based: fabricate,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,450,,2700,,,,,,,,,,,,DMG 2024
Spellguard Shield,Very Rare,Yes,25200,"based: circle of power (plus 1 level, no concentration)",,,,,,,,6,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,840,7560,,,,,,,,,,,,,DMG 2024
"Spell Scroll, Cantrip",Common,No,33,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,30,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 1st",Common,No,99,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,90,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 2nd",Uncommon,No,297,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,180,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 3rd",Uncommon,No,495,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,300,,0,,,,,,,,,,,,DMG 2024
"Spell Scroll, 4th",Rare,No,990,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,450,,0,,,,,,,,,,,,DMG 2024
